Id,Produto,Cor da Marca,Cor Padroniza,Link Site para Compar,Nome da Imagem
1,BT Skin,F10,MAP BS 01,https://amzn.to/4742SCC,bruna_tavares_bt_skin_f10
2,BT Skin,F20,MAP BS 02,https://amzn.to/44TR3xi,bruna_tavares_bt_skin_f20
3,BT Skin,F30,MAP BS 03,https://amzn.to/3q4SgTA,bruna_tavares_bt_skin_f30
4,BT Skin,F40,MAP BS 04,https://amzn.to/3DwjA04,bruna_tavares_bt_skin_f40
5,BT Skin,F50,MAP BS 05,https://amzn.to/3Qekc1P,bruna_tavares_bt_skin_f50
6,BT Skin,F60,MAP BS 06,https://amzn.to/454aJ19,bruna_tavares_bt_skin_f60
7,BT Skin,L10,MAP BS 07,https://amzn.to/44GdeY1,bruna_tavares_bt_skin_l10
8,BT Skin,L20,MAP BS 08,https://amzn.to/3Y7F5Oi,bruna_tavares_bt_skin_l20
9,BT Skin,L30,MAP BS 09,https://amzn.to/3rNrEqI,bruna_tavares_bt_skin_l30
10,BT Skin,L40,MAP BS 10,https://amzn.to/3q5EPTj,bruna_tavares_bt_skin_l40
11,BT Skin,L50,MAP BS 11,https://amzn.to/3O83BdC,bruna_tavares_bt_skin_l50
12,BT Skin,L60,MAP BS 12,https://amzn.to/3q8jAjN,bruna_tavares_bt_skin_l60
13,BT Skin,M10,MAP BS 13,https://amzn.to/3YbLyHK,bruna_tavares_bt_skin_m10
14,BT Skin,M20,MAP BS 14,https://amzn.to/3KgMYeB,bruna_tavares_bt_skin_m20
15,BT Skin,M30,MAP BS 15,https://amzn.to/3pXwDVj,bruna_tavares_bt_skin_m30
16,BT Skin,M40,MAP BS 16,https://amzn.to/3rNs0O4,bruna_tavares_bt_skin_m40
17,BT Skin,M50,MAP BS 17,https://amzn.to/3DwsyKQ,bruna_tavares_bt_skin_m50
18,BT Skin,M60,MAP BS 18,https://amzn.to/3q3UXof,bruna_tavares_bt_skin_m60
19,BT Skin,T10,MAP BS 19,https://amzn.to/3KfJJUD,bruna_tavares_bt_skin_t10
20,BT Skin,T20,MAP BS 20,https://amzn.to/3q63fMs,bruna_tavares_bt_skin_t20
21,BT Skin,T30,MAP BS 21,https://amzn.to/3KemKcy,bruna_tavares_bt_skin_t30
22,BT Skin,T40,MAP BS 22,https://amzn.to/3OtLjF0,bruna_tavares_bt_skin_t40
23,BT Skin,T50,MAP BS 23,https://amzn.to/3pZ3E3o,bruna_tavares_bt_skin_t50
24,BT Skin,T60,MAP BS 24,https://amzn.to/44T2t4e,bruna_tavares_bt_skin_t60
25,BT Skin,D10,MAP BS 25,https://amzn.to/452VE08,bruna_tavares_bt_skin_d10
26,BT Skin,D20,MAP BS 26,https://amzn.to/44IVb3a,bruna_tavares_bt_skin_d20
27,BT Skin,D30,MAP BS 27,https://amzn.to/44FoiEH,bruna_tavares_bt_skin_d30
28,BT Skin,D40,MAP BS 28,https://amzn.to/44HoO56,bruna_tavares_bt_skin_d40
29,BT Skin,D50,MAP BS 29,https://amzn.to/3QebXmA,bruna_tavares_bt_skin_d50
30,BT Skin,D60,MAP BS 30,https://amzn.to/44Z9O28,bruna_tavares_bt_skin_d60
31,Base Protetor Stick Glam Skin Protect,00,,https://amzn.to/3Dx1mM4,eudora_base_protetor_stick_glam_skin_protect_00
32,Base Protetor Stick Glam Skin Protect,05,,https://amzn.to/3OyeMO9,eudora_base_protetor_stick_glam_skin_protect_05
33,Base Protetor Stick Glam Skin Protect,10,,https://amzn.to/3KetWFA,eudora_base_protetor_stick_glam_skin_protect_10
34,Base Protetor Stick Glam Skin Protect,15,,https://amzn.to/44Zb59s,eudora_base_protetor_stick_glam_skin_protect_15
35,Base Protetor Stick Glam Skin Protect,25,,https://amzn.to/45kXSYX,eudora_base_protetor_stick_glam_skin_protect_25
36,Base Protetor Stick Glam Skin Protect,35,,https://amzn.to/3q2JAwZ,eudora_base_protetor_stick_glam_skin_protect_35
37,Base Protetor Stick Glam Skin Protect,50,,https://amzn.to/3OG0B9T,eudora_base_protetor_stick_glam_skin_protect_50
38,Base Protetor Stick Glam Skin Protect,65,,https://amzn.to/3KgO7CH,eudora_base_protetor_stick_glam_skin_protect_65
39,Base Protetor Stick Glam Skin Protect,85,,https://amzn.to/3QaoEPh,eudora_base_protetor_stick_glam_skin_protect_85
40,Base Protetor Stick Glam Skin Protect,95,,https://amzn.to/3qb3aHd,eudora_base_protetor_stick_glam_skin_protect_95
41,Niina Secrets Hidra Glow,00,MAP BS 01,https://amzn.to/45kYgGT,eudora_niina_secrets_hidra_glow_00
42,Niina Secrets Hidra Glow,05,,https://amzn.to/43DWtuZ,eudora_niina_secrets_hidra_glow_05
43,Niina Secrets Hidra Glow,10,,https://amzn.to/3Dxv2IW,eudora_niina_secrets_hidra_glow_10
44,Niina Secrets Hidra Glow,13,,https://amzn.to/3O1UZow,eudora_niina_secrets_hidra_glow_13
45,Niina Secrets Hidra Glow,25,,https://amzn.to/3qa1PQY,eudora_niina_secrets_hidra_glow_25
46,Niina Secrets Hidra Glow,30,,https://amzn.to/3q2tgwf,eudora_niina_secrets_hidra_glow_30
47,Niina Secrets Hidra Glow,35,,https://amzn.to/3Y6xOOF,eudora_niina_secrets_hidra_glow_35
48,Niina Secrets Hidra Glow,40,,https://amzn.to/3OuJBD7,eudora_niina_secrets_hidra_glow_40
49,Niina Secrets Hidra Glow,45,,https://amzn.to/3Oxgy22,eudora_niina_secrets_hidra_glow_45
50,Niina Secrets Hidra Glow,55,,https://amzn.to/3QhG64j,eudora_niina_secrets_hidra_glow_55
51,Niina Secrets Hidra Glow,65,,https://amzn.to/43HQYeL,eudora_niina_secrets_hidra_glow_65
52,Niina Secrets Hidra Glow,70,,https://amzn.to/43IyMSj,eudora_niina_secrets_hidra_glow_70
53,Niina Secrets Hidra Glow,75,,https://amzn.to/3KeuLhE,eudora_niina_secrets_hidra_glow_75
54,Niina Secrets Hidra Glow,80,,https://amzn.to/453AmPE,eudora_niina_secrets_hidra_glow_80
55,Niina Secrets Hidra Glow,90,,https://amzn.to/3Qgv8w8,eudora_niina_secrets_hidra_glow_90
56,Niina Secrets Hidra Glow,95,,https://amzn.to/452IOPj,eudora_niina_secrets_hidra_glow_95
57,Niina Secrets Hidra Glow,100,,https://amzn.to/3KhH8tj,eudora_niina_secrets_hidra_glow_100
58,Niina Secrets Daily Tint Cream,0,,https://amzn.to/3Ydje7Z,eudora_niina_secrets_daily_tint_cream_0
59,Niina Secrets Daily Tint Cream,03,,https://amzn.to/3O8tF8b,eudora_niina_secrets_daily_tint_cream_03
60,Niina Secrets Daily Tint Cream,05,,https://amzn.to/473vUCy,eudora_niina_secrets_daily_tint_cream_05
61,Niina Secrets Daily Tint Cream,13,,https://amzn.to/3O6N8pX,eudora_niina_secrets_daily_tint_cream_13
62,Niina Secrets Daily Tint Cream,35,,https://amzn.to/3KhtLcK,eudora_niina_secrets_daily_tint_cream_35
63,Niina Secrets Daily Tint Cream,48,,https://amzn.to/3rKmagl,eudora_niina_secrets_daily_tint_cream_48
64,Niina Secrets Daily Tint Cream,70,,https://amzn.to/3QettHb,eudora_niina_secrets_daily_tint_cream_70
65,Niina Secrets Daily Tint Cream,85,,https://amzn.to/3OxhiEm,eudora_niina_secrets_daily_tint_cream_85
66,Niina Secrets Daily Tint Cream,95,,https://amzn.to/3Y6PDNC,eudora_niina_secrets_daily_tint_cream_95
67,Niina Secrets Daily Tint Cream,100,,https://amzn.to/3KgPwcr,eudora_niina_secrets_daily_tint_cream_100
68,Glam Skin Perfection,00,,https://amzn.to/3rKmhsh,eudora_glam_skin_perfection_00
69,Glam Skin Perfection,05,,https://amzn.to/47a88EP,eudora_glam_skin_perfection_05
70,Glam Skin Perfection,10,,https://amzn.to/3YgQEmf,eudora_glam_skin_perfection_10
71,Glam Skin Perfection,15,,https://amzn.to/3pWw8La,eudora_glam_skin_perfection_15
72,Glam Skin Perfection,20,,https://amzn.to/3DsviJ8,eudora_glam_skin_perfection_20
73,Glam Skin Perfection,25,,https://amzn.to/43Jk90Y,eudora_glam_skin_perfection_25
74,Glam Skin Perfection,30,,https://amzn.to/452K84J,eudora_glam_skin_perfection_30
75,Glam Skin Perfection,35,,https://amzn.to/3qdX2xX,eudora_glam_skin_perfection_35
76,Glam Skin Perfection,40,,https://amzn.to/3Y7PUzM,eudora_glam_skin_perfection_40
77,Glam Skin Perfection,45,,https://amzn.to/3rNRx9N,eudora_glam_skin_perfection_45
